ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
287,n,n,y,n,n,y,unknown,y,unknown,y,y,y,n,y,y,unknown
90,n,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,unknown
201,n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
133,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
336,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,unknown
76,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
281,n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
53,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
11,n,y,n,y,y,n,n,n,n,n,unknown,unknown,y,y,n,n
307,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
72,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
118,y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
260,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
249,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
351,n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
228,y,n,y,n,n,n,y,y,y,n,n,n,n,n,unknown,y
209,n,n,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
70,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
238,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
156,y,y,n,y,y,y,n,unknown,n,n,y,y,y,y,n,n
197,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,unknown
295,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,unknown
245,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
285,n,n,y,n,n,y,y,y,y,y,y,n,n,n,unknown,y
407,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
155,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
62,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
294,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
385,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
314,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
302,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
435,n,y,n,y,y,y,n,n,n,y,n,y,y,y,unknown,n
370,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
321,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
328,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
114,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
332,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
394,unknown,unknown,unknown,unknown,n,y,n,y,y,n,n,y,y,n,n,unknown
316,n,y,y,y,y,y,y,unknown,n,n,n,n,unknown,unknown,y,unknown
200,y,y,n,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
147,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
380,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
105,unknown,unknown,unknown,unknown,n,y,y,y,y,y,unknown,n,y,y,n,unknown
36,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
48,y,n,y,n,n,n,y,y,unknown,n,n,n,n,n,n,unknown
176,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
403,unknown,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
366,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
275,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
264,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
273,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,unknown
242,y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
5,y,y,y,n,y,y,n,n,n,n,y,unknown,y,y,y,y
40,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
348,y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
66,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
123,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
337,n,n,y,n,n,y,y,y,n,n,y,n,n,y,unknown,y
158,n,y,y,n,n,y,n,y,y,n,y,n,unknown,unknown,unknown,unknown
361,y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
160,n,y,y,n,unknown,y,y,y,y,y,y,n,n,unknown,n,unknown
244,n,y,y,n,n,n,y,y,unknown,y,n,n,y,n,y,y
41,y,y,y,n,n,n,y,y,y,n,unknown,n,n,n,n,unknown
299,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
322,y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
186,y,n,y,n,n,n,y,y,y,y,n,unknown,n,n,y,y
60,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
138,n,unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
63,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,unknown
170,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
45,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,unknown
309,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
167,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
313,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
183,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,y
379,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
110,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
18,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
404,n,y,n,y,y,y,n,n,n,y,n,y,unknown,y,n,n
325,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
259,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
262,y,n,y,n,n,unknown,y,y,y,n,unknown,unknown,n,unknown,unknown,unknown
282,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,unknown
154,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
347,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
318,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
42,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
402,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
293,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
136,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
378,n,y,n,y,y,y,unknown,unknown,n,n,unknown,unknown,y,unknown,unknown,unknown
365,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
405,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
71,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,unknown
320,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
184,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown,unknown,unknown,unknown,unknown,unknown
358,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
400,n,y,n,y,unknown,y,n,n,n,y,n,y,y,y,n,n
425,n,y,y,n,n,unknown,y,y,y,y,y,n,unknown,y,y,y
258,n,n,n,y,y,n,n,n,n,n,n,y,n,y,unknown,y
6,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
356,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
163,n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
187,n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
78,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
161,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
182,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
266,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
381,y,y,y,n,n,y,unknown,y,y,n,y,n,y,n,y,y
178,n,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,y
109,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
330,y,unknown,y,n,n,y,y,y,y,y,n,n,n,n,y,unknown
323,y,y,y,n,unknown,y,n,unknown,n,n,y,n,y,y,n,unknown
207,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
374,n,y,y,unknown,y,y,n,y,n,y,unknown,n,y,y,unknown,y
240,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
395,y,y,unknown,unknown,unknown,y,n,n,n,n,y,n,y,n,n,y
406,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
270,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
194,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
369,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
2,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
220,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
43,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
8,n,y,n,y,y,y,n,n,n,n,n,n,y,y,unknown,y
334,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
434,n,n,n,y,y,y,unknown,unknown,unknown,unknown,n,y,y,y,n,y
19,n,y,n,y,y,y,n,n,n,n,n,unknown,y,y,n,n
432,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
122,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
368,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,unknown
101,y,n,n,n,y,y,n,n,n,n,y,y,n,y,n,y
74,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
205,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
387,n,unknown,y,n,y,y,n,y,n,n,y,n,n,n,n,unknown
39,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
85,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
269,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
16,n,y,n,y,y,y,n,n,n,y,n,y,y,unknown,n,unknown
55,y,y,y,n,n,y,unknown,y,n,n,y,y,n,y,n,unknown
15,n,y,n,y,y,y,n,n,n,n,n,y,unknown,unknown,n,unknown
235,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,unknown
171,y,n,y,n,n,n,unknown,y,y,unknown,n,n,n,n,y,unknown
140,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
206,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
153,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
12,n,y,n,y,y,y,n,n,n,n,y,unknown,y,y,unknown,unknown
34,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
211,n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
367,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,unknown
51,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
1,n,y,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
312,n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
239,y,y,y,n,n,n,y,y,unknown,y,n,n,n,n,y,unknown
251,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
179,unknown,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,unknown
190,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
149,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
31,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
169,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,unknown
148,n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
195,n,n,y,n,n,y,y,unknown,y,y,y,n,n,n,y,y
303,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
384,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
61,y,y,y,n,n,unknown,y,y,y,y,n,n,n,n,y,unknown
29,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
214,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
107,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
80,n,n,n,y,y,n,n,n,n,y,n,y,y,y,n,n
254,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
414,y,y,y,y,y,y,y,y,n,y,unknown,unknown,unknown,y,n,y
196,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
37,y,unknown,n,y,y,y,n,n,n,y,n,y,unknown,y,n,y
408,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
412,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
79,y,y,y,n,y,y,n,n,n,y,y,n,y,y,n,y
164,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
143,n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
413,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
111,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
116,n,unknown,y,n,unknown,unknown,y,y,y,y,unknown,unknown,n,n,y,y
181,unknown,unknown,y,n,n,n,y,y,y,unknown,unknown,n,n,n,unknown,unknown
278,n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
353,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,unknown
88,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
418,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
4,n,y,y,n,unknown,y,n,n,n,n,y,n,y,n,n,y
284,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
247,n,n,y,n,y,n,y,y,y,n,n,n,n,y,unknown,y
308,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,unknown
289,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
210,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
357,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
17,y,n,y,n,n,y,n,y,unknown,y,y,y,unknown,n,n,y
159,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
177,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
106,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
300,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
360,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
180,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
99,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
166,n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,unknown
108,n,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown
373,n,y,y,y,y,y,n,n,n,n,y,y,unknown,y,n,n
376,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
428,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
342,n,unknown,y,unknown,n,y,y,y,y,y,y,n,unknown,unknown,y,y
426,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,unknown
335,n,y,y,n,n,y,y,y,unknown,n,y,y,n,n,y,y
286,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
112,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
296,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
49,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
265,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
119,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
393,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
389,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,unknown
